タイトル名,最低価格,クレジット最低価格,価格URL
スーパーマリオブラザーズ ワンダー [Nintendo Switch],5628,5628,https://kakaku.com/item/K0001547125/
桃太郎電鉄ワールド ～地球は希望でまわってる！～ [Nintendo Switch],5658,5658,https://kakaku.com/item/K0001515158/
スーパーマリオRPG [Nintendo Switch],5628,5628,https://kakaku.com/item/K0001547121/
ファッションドリーマー [Nintendo Switch],5680,5680,https://kakaku.com/item/K0001515147/
STAR OCEAN THE SECOND STORY R [Nintendo Switch],5447,5447,https://kakaku.com/item/K0001547134/
超おどる メイド イン ワリオ [Nintendo Switch],4690,4690,https://kakaku.com/item/K0001547135/
帰ってきた 名探偵ピカチュウ [Nintendo Switch],5609,5609,https://kakaku.com/item/K0001547120/
ドラゴンクエストモンスターズ3 魔族の王子とエルフの旅 [マスターズ版] [Nintendo Switch],9082,9082,https://kakaku.com/item/K0001547123/
ピクミン4 [Nintendo Switch],5627,5628,https://kakaku.com/item/K0001472562/
人生ゲーム for Nintendo Switch,5682,5682,https://kakaku.com/item/K0001547130/
きみのまち サンドロック [Nintendo Switch],4816,4816,https://kakaku.com/item/K0001546873/
不思議のダンジョン 風来のシレン6 とぐろ島探検録 [Nintendo Switch],5687,5687,https://kakaku.com/item/K0001568925/
ゼルダの伝説 ティアーズ オブ ザ キングダム [Nintendo Switch],6699,6699,https://kakaku.com/item/K0001165320/
ホグワーツ・レガシー [通常版] [Nintendo Switch],7075,7075,https://kakaku.com/item/K0001542667/
ドラゴンクエストモンスターズ3 魔族の王子とエルフの旅 [通常版] [Nintendo Switch],6232,6232,https://kakaku.com/item/K0001547122/
桃太郎電鉄 ～昭和 平成 令和も定番！～ [Nintendo Switch],5100,5680,https://kakaku.com/item/K0001187544/
METAL GEAR SOLID： MASTER COLLECTION Vol.1 [Nintendo Switch],6070,6070,https://kakaku.com/item/K0001547131/
マリオカート8 デラックス,5435,5437,https://kakaku.com/item/K0000932975/
大乱闘スマッシュブラザーズ SPECIAL [Nintendo Switch],6298,6391,https://kakaku.com/item/K0001039549/
ホグワーツ・レガシー デラックス・エディション [Nintendo Switch],7961,7961,https://kakaku.com/item/K0001542668/
ポケットモンスター バイオレット [Nintendo Switch],5309,5309,https://kakaku.com/item/K0001424280/
華アワセ 朔 コンプリートセット [Nintendo Switch],21120,21120,https://kakaku.com/item/K0001542161/
あつまれ どうぶつの森 [Nintendo Switch],5150,5264,https://kakaku.com/item/K0001090396/
ポケットモンスター スカーレット+ゼロの秘宝 [Nintendo Switch],8631,8631,https://kakaku.com/item/K0001576724/
スプラトゥーン3 [Nintendo Switch],5236,5236,https://kakaku.com/item/K0001333398/
ドラゴンクエストXI 過ぎ去りし時を求めて S [新価格版] [Nintendo Switch],4419,4419,https://kakaku.com/item/K0001294960/
ピクミン1+2 [Nintendo Switch],4266,4266,https://kakaku.com/item/K0001547124/
EA SPORTS FC 24 [Nintendo Switch],5411,5411,https://kakaku.com/item/K0001557359/
マリオパーティ スーパースターズ [Nintendo Switch],5198,5298,https://kakaku.com/item/K0001362398/
リングフィット アドベンチャー [Nintendo Switch],7380,7413,https://kakaku.com/item/K0001192045/
ゼノブレイド ディフィニティブ・エディション [Nintendo Switch],4976,4976,https://kakaku.com/item/K0001187540/
Nintendo Switch Sports [Nintendo Switch],4591,4591,https://kakaku.com/item/K0001421294/
ペルソナ5 タクティカ [Nintendo Switch],6386,6386,https://kakaku.com/item/K0001546872/
世界のアソビ大全51 [Nintendo Switch],3482,3482,https://kakaku.com/item/K0001246266/
インフィニティ ストラッシュ ドラゴンクエスト ダイの大冒険 [Nintendo Switch],3600,3600,https://kakaku.com/item/K0001543743/
ユニコーンオーバーロード モナークエディション [限定版] [Nintendo Switch],14870,14870,https://kakaku.com/item/K0001568924/
ぼくは航空管制官 エアポートヒーロー 羽田 ALLSTARS [Nintendo Switch],7296,7296,https://kakaku.com/item/K0001557666/
Fate Samurai Remnant [通常版] [Nintendo Switch],8014,8014,https://kakaku.com/item/K0001547132/
スーパーマリオ オデッセイ,5362,5364,https://kakaku.com/item/K0000932976/
ドラゴンクエストX 目覚めし五つの種族 オフライン [通常版] [Nintendo Switch],6770,6770,https://kakaku.com/item/K0001388637/
スーパーマリオブラザーズ ワンダー [Nintendo Switch],5628,5628,https://kakaku.com/item/K0001547125/?lid=ranking_faq_richresults_4143
桃太郎電鉄ワールド ～地球は希望でまわってる！～ [Nintendo Switch],5658,5658,https://kakaku.com/item/K0001515158/?lid=ranking_faq_richresults_4143
マリオカート8 デラックス + コース追加パス セット [Nintendo Switch],7155,7155,https://kakaku.com/item/K0001576771/
信長の野望・新生 with パワーアップキット [通常版] [Nintendo Switch],9641,9641,https://kakaku.com/item/K0001528007/
星のカービィ Wii デラックス [Nintendo Switch],5441,5443,https://kakaku.com/item/K0001472566/
イースX - NORDICS - [通常版] [Nintendo Switch],6853,6853,https://kakaku.com/item/K0001543741/
レッド・デッド・リデンプション [Nintendo Switch],5501,5501,https://kakaku.com/item/K0001569235/
圧倒的遊戯 ムゲンソウルズ ダブルパック [Nintendo Switch],6473,6473,https://kakaku.com/item/K0001554776/
ベヨネッタ3 [Nintendo Switch],6160,6160,https://kakaku.com/item/K0001387049/
星のカービィ ディスカバリー [Nintendo Switch],5300,5340,https://kakaku.com/item/K0001387045/
おすそわける メイド イン ワリオ [Nintendo Switch],4000,4000,https://kakaku.com/item/K0001362397/
バディミッション BOND [Nintendo Switch],3840,3840,https://kakaku.com/item/K0001307375/
ポケットモンスター バイオレット+ゼロの秘宝 [Nintendo Switch],8631,8631,https://kakaku.com/item/K0001576725/
ゼルダの伝説 ブレス オブ ザ ワイルド [通常版] [Nintendo Switch],6159,6161,https://kakaku.com/item/K0000932974/
ダブルドラゴンコレクション [Nintendo Switch],2850,2850,https://kakaku.com/item/K0001569234/
太鼓の達人 ドンダフルフェスティバル [Nintendo Switch],5447,5447,https://kakaku.com/item/K0001421287/
Minecraft： Nintendo Switch Edition,3274,3274,https://kakaku.com/item/K0000959385/
あけておねがい [Nintendo Switch],4636,4636,https://kakaku.com/item/K0001549983/
イース・メモワール - フェルガナの誓い - [Nintendo Switch],3373,3373,https://kakaku.com/item/K0001512178/
パウ・パトロール ワールド [Nintendo Switch],4816,4816,https://kakaku.com/item/K0001546466/
モンスターハンターライズ + サンブレイク セット [Nintendo Switch],5980,5980,https://kakaku.com/item/K0001431253/
圧倒的遊戯 ムゲンソウルズ [Nintendo Switch],4284,4284,https://kakaku.com/item/K0001554775/
世界樹の迷宮I・II・III HD REMASTER [Nintendo Switch],6908,6910,https://kakaku.com/item/K0001515153/
eBASEBALLパワフルプロ野球2022 [Nintendo Switch],5784,5784,https://kakaku.com/item/K0001421073/
FREDERICA [Nintendo Switch],4319,4319,https://kakaku.com/item/K0001547128/
LOOP8 [Nintendo Switch],2765,2765,https://kakaku.com/item/K0001421296/
ポケットモンスター スカーレット [Nintendo Switch],5537,5538,https://kakaku.com/item/K0001424279/
メトロイドプライム リマスタード [Nintendo Switch],3834,3834,https://kakaku.com/item/K0001515154/
五等分の花嫁 ～彼女と交わす五つの約束～ [限定版] [Nintendo Switch],8800,8800,https://kakaku.com/item/K0001540900/
DYSCHRONIA： Chronos Alternate - Definitive Edition [Nintendo Switch],6190,6190,https://kakaku.com/item/K0001563610/
Football Manager 2024 Touch [Nintendo Switch],4025,4025,https://kakaku.com/item/K0001568937/
スーパーボンバーマン R 2 [Nintendo Switch],4440,4440,https://kakaku.com/item/K0001529625/
スーパーマリオ 3Dワールド + フューリーワールド [Nintendo Switch],5200,5262,https://kakaku.com/item/K0001286793/
ソルクレスタ ドラマティックエディション [Nintendo Switch],4114,4114,https://kakaku.com/item/K0001460243/
タクティクスオウガ リボーン [Nintendo Switch],3880,3880,https://kakaku.com/item/K0001463225/
ナビつき！ つくってわかる はじめてゲームプログラミング [Nintendo Switch],2764,2764,https://kakaku.com/item/K0001352797/
ピクミン3 デラックス [Nintendo Switch],5489,5491,https://kakaku.com/item/K0001278827/
ワンピース 海賊無双4 Deluxe Edition [Nintendo Switch],6079,6079,https://kakaku.com/item/K0001551666/
東亰ザナドゥeX+ for Nintendo Switch,3839,3839,https://kakaku.com/item/K0001528009/
MODEL Debut3 #nicola [Nintendo Switch],5916,5916,https://kakaku.com/item/K0001564984/
New スーパーマリオブラザーズ U デラックス [Nintendo Switch],5304,5355,https://kakaku.com/item/K0001090398/
ゼノブレイド3 [Nintendo Switch],3923,3923,https://kakaku.com/item/K0001421297/
恐怖の世界 [Nintendo Switch],3572,3572,https://kakaku.com/item/K0001557664/
DCスーパーヒーローガールズ ティーンパワー [Nintendo Switch],1319,1319,https://kakaku.com/item/K0001333395/
Fit Boxing feat. 初音ミク - ミクといっしょにエクササイズ - [Nintendo Switch],5979,5979,https://kakaku.com/item/K0001568934/
It Takes Two [Nintendo Switch],3496,3496,https://kakaku.com/item/K0001472564/
SPY×FAMILY OPERATION DIARY [Nintendo Switch],6118,6118,https://kakaku.com/item/K0001568933/
シアトリズム ファイナルバーライン [Nintendo Switch],4780,4780,https://kakaku.com/item/K0001472559/
バットマン：アーカム・トリロジー [Nintendo Switch],6727,6727,https://kakaku.com/item/K0001569236/
ポケットモンスター シャイニングパール [Nintendo Switch],1680,1680,https://kakaku.com/item/K0001335534/
ライブアライブ [Nintendo Switch],4980,4980,https://kakaku.com/item/K0001421293/
ルイージマンション3 [Nintendo Switch],5127,5127,https://kakaku.com/item/K0001090397/
華アワセ 朔 - 唐紅 ~うつつ編 - [Nintendo Switch],4285,4285,https://kakaku.com/item/K0001542159/
華アワセ 朔 - 蛟編 - [Nintendo Switch],4285,4285,https://kakaku.com/item/K0001542157/
奇々怪界 黒マントの謎 [Nintendo Switch],2927,2927,https://kakaku.com/item/K0001419329/
